BedrijfstakkenBranchesSBI2008_code;BedrijfstakkenBranchesSBI2008_title;Perioden_code;Perioden_title;Measure;Unit;Value
"350000";"F Bouwnijverheid";"2013MM03";"2013 maart";"Vacature-indicator";"%";-1.54
"307500";"C Industrie";"2013MM03";"2013 maart";"Vacature-indicator";"%";-1
"T001081";"A-U Alle economische activiteiten";"2013MM03";"2013 maart";"Vacature-indicator";"%";-1.07
"300007";"G-N Commerciële dienstverlening";"2013MM04";"2013 april";"Vacature-indicator";"%";-0.99
"350000";"F Bouwnijverheid";"2013MM04";"2013 april";"Vacature-indicator";"%";-1.44
"307500";"C Industrie";"2013MM04";"2013 april";"Vacature-indicator";"%";-0.92
"T001081";"A-U Alle economische activiteiten";"2013MM04";"2013 april";"Vacature-indicator";"%";-1.02
"300007";"G-N Commerciële dienstverlening";"2013MM05";"2013 mei";"Vacature-indicator";"%";-0.92
"350000";"F Bouwnijverheid";"2013MM05";"2013 mei";"Vacature-indicator";"%";-1.3
"307500";"C Industrie";"2013MM05";"2013 mei";"Vacature-indicator";"%";-0.78
"T001081";"A-U Alle economische activiteiten";"2013MM05";"2013 mei";"Vacature-indicator";"%";-0.93
"300007";"G-N Commerciële dienstverlening";"2013MM06";"2013 juni";"Vacature-indicator";"%";-0.84
"350000";"F Bouwnijverheid";"2013MM06";"2013 juni";"Vacature-indicator";"%";-1.15
"307500";"C Industrie";"2013MM06";"2013 juni";"Vacature-indicator";"%";-0.59
"T001081";"A-U Alle economische activiteiten";"2013MM06";"2013 juni";"Vacature-indicator";"%";-0.83
"300007";"G-N Commerciële dienstverlening";"2013MM07";"2013 juli";"Vacature-indicator";"%";-0.76
"350000";"F Bouwnijverheid";"2013MM07";"2013 juli";"Vacature-indicator";"%";-0.97
"307500";"C Industrie";"2013MM07";"2013 juli";"Vacature-indicator";"%";-0.37
"T001081";"A-U Alle economische activiteiten";"2013MM07";"2013 juli";"Vacature-indicator";"%";-0.72
"300007";"G-N Commerciële dienstverlening";"2013MM08";"2013 augustus";"Vacature-indicator";"%";-0.68
"350000";"F Bouwnijverheid";"2013MM08";"2013 augustus";"Vacature-indicator";"%";-0.79
"307500";"C Industrie";"2013MM08";"2013 augustus";"Vacature-indicator";"%";-0.14
"T001081";"A-U Alle economische activiteiten";"2013MM08";"2013 augustus";"Vacature-indicator";"%";-0.62
"300007";"G-N Commerciële dienstverlening";"2013MM09";"2013 september";"Vacature-indicator";"%";-0.6
"350000";"F Bouwnijverheid";"2013MM09";"2013 september";"Vacature-indicator";"%";-0.61
"307500";"C Industrie";"2013MM09";"2013 september";"Vacature-indicator";"%";0.05
"T001081";"A-U Alle economische activiteiten";"2013MM09";"2013 september";"Vacature-indicator";"%";-0.53
"300007";"G-N Commerciële dienstverlening";"2013MM10";"2013 oktober";"Vacature-indicator";"%";-0.54
"350000";"F Bouwnijverheid";"2013MM10";"2013 oktober";"Vacature-indicator";"%";-0.43
"307500";"C Industrie";"2013MM10";"2013 oktober";"Vacature-indicator";"%";0.18
"T001081";"A-U Alle economische activiteiten";"2013MM10";"2013 oktober";"Vacature-indicator";"%";-0.45
"300007";"G-N Commerciële dienstverlening";"2013MM11";"2013 november";"Vacature-indicator";"%";-0.48
"350000";"F Bouwnijverheid";"2013MM11";"2013 november";"Vacature-indicator";"%";-0.25
"307500";"C Industrie";"2013MM11";"2013 november";"Vacature-indicator";"%";0.24
"T001081";"A-U Alle economische activiteiten";"2013MM11";"2013 november";"Vacature-indicator";"%";-0.39
"300007";"G-N Commerciële dienstverlening";"2013MM12";"2013 december";"Vacature-indicator";"%";-0.42
"350000";"F Bouwnijverheid";"2013MM12";"2013 december";"Vacature-indicator";"%";-0.07
"307500";"C Industrie";"2013MM12";"2013 december";"Vacature-indicator";"%";0.27
"T001081";"A-U Alle economische activiteiten";"2013MM12";"2013 december";"Vacature-indicator";"%";-0.32
"300007";"G-N Commerciële dienstverlening";"2014MM01";"2014 januari";"Vacature-indicator";"%";-0.35
"350000";"F Bouwnijverheid";"2014MM01";"2014 januari";"Vacature-indicator";"%";0.1
"307500";"C Industrie";"2014MM01";"2014 januari";"Vacature-indicator";"%";0.29
"T001081";"A-U Alle economische activiteiten";"2014MM01";"2014 januari";"Vacature-indicator";"%";-0.24
"300007";"G-N Commerciële dienstverlening";"2014MM02";"2014 februari";"Vacature-indicator";"%";-0.26
"350000";"F Bouwnijverheid";"2014MM02";"2014 februari";"Vacature-indicator";"%";0.25
"307500";"C Industrie";"2014MM02";"2014 februari";"Vacature-indicator";"%";0.3
"T001081";"A-U Alle economische activiteiten";"2014MM02";"2014 februari";"Vacature-indicator";"%";-0.16
"300007";"G-N Commerciële dienstverlening";"2014MM03";"2014 maart";"Vacature-indicator";"%";-0.18
"350000";"F Bouwnijverheid";"2014MM03";"2014 maart";"Vacature-indicator";"%";0.39
"307500";"C Industrie";"2014MM03";"2014 maart";"Vacature-indicator";"%";0.3
"T001081";"A-U Alle economische activiteiten";"2014MM03";"2014 maart";"Vacature-indicator";"%";-0.08
"300007";"G-N Commerciële dienstverlening";"2014MM04";"2014 april";"Vacature-indicator";"%";-0.1
"350000";"F Bouwnijverheid";"2014MM04";"2014 april";"Vacature-indicator";"%";0.5
"307500";"C Industrie";"2014MM04";"2014 april";"Vacature-indicator";"%";0.28
"T001081";"A-U Alle economische activiteiten";"2014MM04";"2014 april";"Vacature-indicator";"%";-0.01
"300007";"G-N Commerciële dienstverlening";"2014MM05";"2014 mei";"Vacature-indicator";"%";-0.05
"350000";"F Bouwnijverheid";"2014MM05";"2014 mei";"Vacature-indicator";"%";0.58
"307500";"C Industrie";"2014MM05";"2014 mei";"Vacature-indicator";"%";0.25
"T001081";"A-U Alle economische activiteiten";"2014MM05";"2014 mei";"Vacature-indicator";"%";0.03
"300007";"G-N Commerciële dienstverlening";"2014MM06";"2014 juni";"Vacature-indicator";"%";-0.04
"350000";"F Bouwnijverheid";"2014MM06";"2014 juni";"Vacature-indicator";"%";0.66
"307500";"C Industrie";"2014MM06";"2014 juni";"Vacature-indicator";"%";0.2
"T001081";"A-U Alle economische activiteiten";"2014MM06";"2014 juni";"Vacature-indicator";"%";0.04
"300007";"G-N Commerciële dienstverlening";"2014MM07";"2014 juli";"Vacature-indicator";"%";-0.05
"350000";"F Bouwnijverheid";"2014MM07";"2014 juli";"Vacature-indicator";"%";0.73
"307500";"C Industrie";"2014MM07";"2014 juli";"Vacature-indicator";"%";0.18
"T001081";"A-U Alle economische activiteiten";"2014MM07";"2014 juli";"Vacature-indicator";"%";0.02
"300007";"G-N Commerciële dienstverlening";"2014MM08";"2014 augustus";"Vacature-indicator";"%";-0.05
"350000";"F Bouwnijverheid";"2014MM08";"2014 augustus";"Vacature-indicator";"%";0.81
"307500";"C Industrie";"2014MM08";"2014 augustus";"Vacature-indicator";"%";0.17
"T001081";"A-U Alle economische activiteiten";"2014MM08";"2014 augustus";"Vacature-indicator";"%";0.02
"300007";"G-N Commerciële dienstverlening";"2014MM09";"2014 september";"Vacature-indicator";"%";-0.04
"350000";"F Bouwnijverheid";"2014MM09";"2014 september";"Vacature-indicator";"%";0.9
"307500";"C Industrie";"2014MM09";"2014 september";"Vacature-indicator";"%";0.19
"T001081";"A-U Alle economische activiteiten";"2014MM09";"2014 september";"Vacature-indicator";"%";0.04
"300007";"G-N Commerciële dienstverlening";"2014MM10";"2014 oktober";"Vacature-indicator";"%";0
"350000";"F Bouwnijverheid";"2014MM10";"2014 oktober";"Vacature-indicator";"%";1
"307500";"C Industrie";"2014MM10";"2014 oktober";"Vacature-indicator";"%";0.23
"T001081";"A-U Alle economische activiteiten";"2014MM10";"2014 oktober";"Vacature-indicator";"%";0.08
"300007";"G-N Commerciële dienstverlening";"2014MM11";"2014 november";"Vacature-indicator";"%";0.05
"350000";"F Bouwnijverheid";"2014MM11";"2014 november";"Vacature-indicator";"%";1.1
"307500";"C Industrie";"2014MM11";"2014 november";"Vacature-indicator";"%";0.3
"T001081";"A-U Alle economische activiteiten";"2014MM11";"2014 november";"Vacature-indicator";"%";0.14
"300007";"G-N Commerciële dienstverlening";"2014MM12";"2014 december";"Vacature-indicator";"%";0.12
"350000";"F Bouwnijverheid";"2014MM12";"2014 december";"Vacature-indicator";"%";1.18
"307500";"C Industrie";"2014MM12";"2014 december";"Vacature-indicator";"%";0.38
"T001081";"A-U Alle economische activiteiten";"2014MM12";"2014 december";"Vacature-indicator";"%";0.22
"300007";"G-N Commerciële dienstverlening";"2015MM01";"2015 januari";"Vacature-indicator";"%";0.17
"350000";"F Bouwnijverheid";"2015MM01";"2015 januari";"Vacature-indicator";"%";1.24
"307500";"C Industrie";"2015MM01";"2015 januari";"Vacature-indicator";"%";0.43
"T001081";"A-U Alle economische activiteiten";"2015MM01";"2015 januari";"Vacature-indicator";"%";0.28
"300007";"G-N Commerciële dienstverlening";"2015MM02";"2015 februari";"Vacature-indicator";"%";0.18
"350000";"F Bouwnijverheid";"2015MM02";"2015 februari";"Vacature-indicator";"%";1.27
"307500";"C Industrie";"2015MM02";"2015 februari";"Vacature-indicator";"%";0.43
"T001081";"A-U Alle economische activiteiten";"2015MM02";"2015 februari";"Vacature-indicator";"%";0.29
"300007";"G-N Commerciële dienstverlening";"2015MM03";"2015 maart";"Vacature-indicator";"%";0.17
"350000";"F Bouwnijverheid";"2015MM03";"2015 maart";"Vacature-indicator";"%";1.27
"307500";"C Industrie";"2015MM03";"2015 maart";"Vacature-indicator";"%";0.41
"T001081";"A-U Alle economische activiteiten";"2015MM03";"2015 maart";"Vacature-indicator";"%";0.27
"300007";"G-N Commerciële dienstverlening";"2015MM04";"2015 april";"Vacature-indicator";"%";0.14
"350000";"F Bouwnijverheid";"2015MM04";"2015 april";"Vacature-indicator";"%";1.24
"307500";"C Industrie";"2015MM04";"2015 april";"Vacature-indicator";"%";0.43
"T001081";"A-U Alle economische activiteiten";"2015MM04";"2015 april";"Vacature-indicator";"%";0.25
"300007";"G-N Commerciële dienstverlening";"2015MM05";"2015 mei";"Vacature-indicator";"%";0.15
"350000";"F Bouwnijverheid";"2015MM05";"2015 mei";"Vacature-indicator";"%";1.2
"307500";"C Industrie";"2015MM05";"2015 mei";"Vacature-indicator";"%";0.49
"T001081";"A-U Alle economische activiteiten";"2015MM05";"2015 mei";"Vacature-indicator";"%";0.25
"300007";"G-N Commerciële dienstverlening";"2015MM06";"2015 juni";"Vacature-indicator";"%";0.17
"350000";"F Bouwnijverheid";"2015MM06";"2015 juni";"Vacature-indicator";"%";1.15
"307500";"C Industrie";"2015MM06";"2015 juni";"Vacature-indicator";"%";0.57
"T001081";"A-U Alle economische activiteiten";"2015MM06";"2015 juni";"Vacature-indicator";"%";0.28
"300007";"G-N Commerciële dienstverlening";"2015MM07";"2015 juli";"Vacature-indicator";"%";0.21
"350000";"F Bouwnijverheid";"2015MM07";"2015 juli";"Vacature-indicator";"%";1.1
"307500";"C Industrie";"2015MM07";"2015 juli";"Vacature-indicator";"%";0.63
"T001081";"A-U Alle economische activiteiten";"2015MM07";"2015 juli";"Vacature-indicator";"%";0.31
"300007";"G-N Commerciële dienstverlening";"2015MM08";"2015 augustus";"Vacature-indicator";"%";0.26
"350000";"F Bouwnijverheid";"2015MM08";"2015 augustus";"Vacature-indicator";"%";1.05
"307500";"C Industrie";"2015MM08";"2015 augustus";"Vacature-indicator";"%";0.67
"T001081";"A-U Alle economische activiteiten";"2015MM08";"2015 augustus";"Vacature-indicator";"%";0.35
"300007";"G-N Commerciële dienstverlening";"2015MM09";"2015 september";"Vacature-indicator";"%";0.3
"350000";"F Bouwnijverheid";"2015MM09";"2015 september";"Vacature-indicator";"%";1.02
"307500";"C Industrie";"2015MM09";"2015 september";"Vacature-indicator";"%";0.69
"T001081";"A-U Alle economische activiteiten";"2015MM09";"2015 september";"Vacature-indicator";"%";0.38
"300007";"G-N Commerciële dienstverlening";"2015MM10";"2015 oktober";"Vacature-indicator";"%";0.32
"350000";"F Bouwnijverheid";"2015MM10";"2015 oktober";"Vacature-indicator";"%";1
"307500";"C Industrie";"2015MM10";"2015 oktober";"Vacature-indicator";"%";0.7
"T001081";"A-U Alle economische activiteiten";"2015MM10";"2015 oktober";"Vacature-indicator";"%";0.4
"300007";"G-N Commerciële dienstverlening";"2015MM11";"2015 november";"Vacature-indicator";"%";0.32
"350000";"F Bouwnijverheid";"2015MM11";"2015 november";"Vacature-indicator";"%";1.01
"307500";"C Industrie";"2015MM11";"2015 november";"Vacature-indicator";"%";0.68
"T001081";"A-U Alle economische activiteiten";"2015MM11";"2015 november";"Vacature-indicator";"%";0.39
"300007";"G-N Commerciële dienstverlening";"2015MM12";"2015 december";"Vacature-indicator";"%";0.31
"350000";"F Bouwnijverheid";"2015MM12";"2015 december";"Vacature-indicator";"%";1.05
"307500";"C Industrie";"2015MM12";"2015 december";"Vacature-indicator";"%";0.62
"T001081";"A-U Alle economische activiteiten";"2015MM12";"2015 december";"Vacature-indicator";"%";0.39
